code
CHD_COV_COD
RESP_COV_COD
CKD_COV_COD
CLD_COD
DIAB_COD
IMMDX_COV_COD
CNS_COV_COD
SPLN_COV_COD
LEARNDIS_COD
SEV_MENTAL_COD
